226
0.7	0.5	-0.15	6.641592653589793	0.01	-0.016	0.183
0.7	0.5	-0.15	6.641592653589793	0.01	-0.086	0.183
0.7	0.5	-0.15	6.641592653589793	0.01	-0.086	-0.016
0.7	0.1	0.	8.521592653589792	0.01	-0.025	0.066
0.7	0.1	0.	8.521592653589792	0.01	-0.305	0.066
0.7	0.1	0.	8.521592653589792	0.01	-0.305	-0.025
0.7	0.5	0.	5.141592653589793	0.01	0.113	1.202
0.7	0.5	0.	5.141592653589793	0.01	-0.138	1.202
0.7	0.5	0.	5.141592653589793	0.01	-0.138	0.113
0.7	0.5	0.1	4.711592653589793	0.01	0.013	0.508
0.7	0.5	0.1	4.711592653589793	0.01	-0.013	0.508
0.7	0.5	0.1	4.711592653589793	0.01	-0.013	0.013
0.7	0.5	-0.1	4.491592653589793	0.01	-0.075	0.082
0.7	0.5	-0.1	4.491592653589793	0.01	-1.121	0.082
0.7	0.5	-0.1	4.491592653589793	0.01	-1.121	-0.075
0.65	0.1	-0.52	8.141592653589793	0.01	-0.871	0.291
0.65	0.1	-0.52	8.141592653589793	0.01	-0.879	0.291
0.65	0.1	-0.52	8.141592653589793	0.01	-0.879	-0.871
0.7	0.5	0.35	4.641592653589793	0.01	0.975	1.017
0.7	0.5	0.35	4.641592653589793	0.01	-0.015	1.017
0.7	0.5	0.35	4.641592653589793	0.01	-0.015	0.975
0.7	0.5	-0.8	7.141592653589793	0.01	-0.552	-0.045
0.7	0.5	-0.8	7.141592653589793	0.01	-0.605	-0.045
0.7	0.5	-0.8	7.141592653589793	0.01	-0.605	-0.552
0.7	0.1	-0.1	7.741592653589793	0.01	0.007	0.208
0.7	0.1	-0.1	7.741592653589793	0.01	-0.149	0.208
0.7	0.1	-0.1	7.741592653589793	0.01	-0.149	0.007
0.7	0.5	0.2	4.5415926535897935	0.01	-0.031	0.516
0.7	0.5	0.2	4.5415926535897935	0.01	-1.129	0.516
0.7	0.5	0.2	4.5415926535897935	0.01	-1.129	-0.031
0.7	0.5	-0.3	5.071592653589793	0.01	-0.106	1.119
0.7	0.1	-0.25	8.441592653589794	0.01	-0.914	0.102
0.7	0.5	-1.12	6.341592653589793	0.01	0.095	0.326
0.7	0.1	-0.75	7.741592653589793	0.01	-0.032	0.743
0.7	0.1	-0.75	7.741592653589793	0.01	-0.54	0.743
0.7	0.1	-0.75	7.741592653589793	0.01	-0.54	-0.032
0.9	0.03	0.15	5.141592653589793	0.01	-0.066	0.277
0.9	0.03	0.15	5.141592653589793	0.01	-0.09	0.277
0.9	0.03	0.15	5.141592653589793	0.01	-0.09	-0.066
0.9	0.03	0.1	4.741592653589793	0.01	0.122	0.151
0.9	0.03	0.1	4.741592653589793	0.01	-0.112	0.151
0.9	0.03	0.1	4.741592653589793	0.01	-0.112	0.122
0.9	0.03	0.2	5.441592653589793	0.01	-0.01	0.472
0.9	0.03	0.2	5.441592653589793	0.01	-0.04	0.472
0.9	0.03	0.2	5.441592653589793	0.01	-0.04	-0.01
1.5	0.5	-0.1	6.341592653589793	0.01	0.325	0.459
1.5	0.5	-0.1	6.341592653589793	0.01	-0.632	0.459
1.5	0.5	-0.1	6.341592653589793	0.01	-0.632	0.325
1.5	0.5	0.	6.141592653589793	0.01	0.348	0.446
1.5	0.5	0.	6.141592653589793	0.01	-0.656	0.446
1.5	0.5	0.	6.141592653589793	0.01	-0.656	0.348
0.9	0.03	0.26	4.7915926535897935	0.01	-0.167	0.222
0.9	0.03	0.26	4.7915926535897935	0.01	-0.194	0.222
0.9	0.03	0.26	4.7915926535897935	0.01	-0.194	-0.167
1.5	0.5	-0.3	5.941592653589793	0.01	-0.782	-0.314
1.5	0.5	-0.3	5.941592653589793	0.01	-0.782	-0.588
0.9	0.03	0.3	4.941592653589793	0.01	-0.129	0.285
0.9	0.03	0.3	4.941592653589793	0.01	-0.142	0.285
0.9	0.03	0.3	4.941592653589793	0.01	-0.142	-0.129
1.5	0.5	-0.3	6.0415926535897935	0.01	-0.392	0.491
1.5	0.5	-0.3	6.0415926535897935	0.01	-0.562	0.491
1.5	0.5	-0.3	6.0415926535897935	0.01	-0.562	-0.392
1.5	0.5	-0.25	5.891592653589793	0.01	-0.738	-0.208
1.5	0.5	-0.25	5.891592653589793	0.01	-0.738	-0.668
1.5	0.5	-0.35	5.341592653589793	0.01	-0.646	-0.06
1.5	0.5	-0.35	5.341592653589793	0.01	-0.646	-0.538
1.5	0.5	-0.25	5.641592653589793	0.01	-0.096	0.458
1.5	0.5	-0.25	5.641592653589793	0.01	-0.587	0.458
1.5	0.5	-0.25	5.641592653589793	0.01	-0.587	-0.096
1.5	0.5	-0.25	5.141592653589793	0.01	-0.296	0.041
1.5	0.5	-0.25	5.141592653589793	0.01	-0.472	0.041
1.5	0.5	-0.25	5.141592653589793	0.01	-0.472	-0.296
1.5	0.5	-0.7	4.641592653589793	0.01	0.016	0.08
1.5	0.5	-0.7	4.641592653589793	0.01	-0.346	0.08
1.5	0.5	-0.7	4.641592653589793	0.01	-0.346	0.016
1.5	0.5	-0.45	7.741592653589793	0.01	0.049	0.409
1.5	0.5	-0.45	7.741592653589793	0.01	-0.277	0.409
1.5	0.5	-0.45	7.741592653589793	0.01	-0.277	0.049
1.5	0.5	-0.33	6.341592653589793	0.01	-0.652	0.367
0.9	0.1	0.45	4.7915926535897935	0.01	0.001	0.466
0.9	0.1	0.45	4.7915926535897935	0.01	-0.372	0.466
0.9	0.1	0.45	4.7915926535897935	0.01	-0.372	0.001
2.2	0.5	-0.1	6.141592653589793	0.01	-1.069	-0.746
2.2	0.5	-0.1	6.141592653589793	0.01	-1.189	-0.746
2.2	0.5	-0.1	6.141592653589793	0.01	-1.189	-1.069
2.2	0.5	-0.35	6.0415926535897935	0.01	-1.142	-1.073
2.2	0.5	-0.35	6.0415926535897935	0.01	-1.287	-1.073
2.2	0.5	-0.35	6.0415926535897935	0.01	-1.287	-1.142
2.2	0.5	-0.4	5.941592653589793	0.01	-1.169	-0.985
2.2	0.5	-0.4	5.941592653589793	0.01	-1.215	-0.985
2.2	0.5	-0.4	5.941592653589793	0.01	-1.215	-1.169
2.2	0.5	-1.05	5.141592653589793	0.01	-0.563	-0.394
2.2	0.5	-1.05	5.141592653589793	0.01	-0.657	-0.394
2.2	0.5	-1.05	5.141592653589793	0.01	-0.657	-0.563
2.2	0.5	-0.45	5.841592653589793	0.01	-0.896	0.675
2.2	0.5	-0.45	5.841592653589793	0.01	-1.107	0.675
2.2	0.5	-0.45	5.841592653589793	0.01	-1.107	-0.896
2.2	0.5	-1.	5.0415926535897935	0.01	-0.398	-0.3
