Date_________JDUT     R.A.___(ICRF)___DEC            delta      deldot
**********************************************************************
$$SOE
2456359.500000000      38.98615  15.93125 1.18662556866521   0.6812514
2456360.500000000      39.95252  16.21753 1.18701454782438   0.6655358
2456361.500000000      40.92166  16.49943 1.18739426645287   0.6491891
2456362.500000000      41.89358  16.77685 1.18776437011242   0.6322528
2456363.500000000      42.86829  17.04970 1.18812453914323   0.6148042
2456364.500000000      43.84579  17.31788 1.18847450566799   0.5969435
2456365.500000000      44.82607  17.58130 1.18881406385958   0.5787827
2456366.500000000      45.80911  17.83987 1.18914307198004   0.5604313
2456367.500000000      46.79492  18.09349 1.18946145127703   0.5419941
2456368.500000000      47.78346  18.34208 1.18976917784495   0.5235586
2456369.500000000      48.77472  18.58555 1.19006627589410   0.5052032
2456370.500000000      49.76867  18.82381 1.19035281092493   0.4869932
2456371.500000000      50.76529  19.05677 1.19062888497896   0.4689904
2456372.500000000      51.76456  19.28435 1.19089463462906   0.4512533
2456373.500000000      52.76643  19.50646 1.19115023047015   0.4338418
2456374.500000000      53.77088  19.72302 1.19139587867109   0.4168188
2456375.500000000      54.77786  19.93396 1.19163182201865   0.4002479
2456376.500000000      55.78735  20.13919 1.19185833926675   0.3841891
2456377.500000000      56.79930  20.33864 1.19207574142684   0.3686921
2456378.500000000      57.81367  20.53224 1.19228436143500   0.3537814
2456379.500000000      58.83043  20.71990 1.19248453723629   0.3394480
2456380.500000000      59.84953  20.90156 1.19267658940162   0.3256395
2456381.500000000      60.87093  21.07715 1.19286079500981   0.3122588
2456382.500000000      61.89461  21.24660 1.19303736422129   0.2991728
2456383.500000000      62.92051  21.40985 1.19320642314189   0.2862268
2456384.500000000      63.94862  21.56685 1.19337006670861   0.2732627
2456385.500000000      64.97884  21.71751 1.19352412074972   0.2601336
2456386.500000000      66.01114  21.86177 1.19367051558699   0.2467226
2456387.500000000      67.04547  21.99960 1.19380905969776   0.2329369
2456388.500000000      68.08176  22.13092 1.19393951846329   0.2187192
2456389.500000000      69.11994  22.25568 1.19406163359932   0.2040444
2456390.500000000      70.15992  22.37384 1.19417514151622   0.1889183
2456391.500000000      71.20163  22.48534 1.19427979047113   0.1733778
2456392.500000000      72.24496  22.59013 1.19437535666223   0.1574793
2456393.500000000      73.28983  22.68817 1.19446165424836   0.1412967
2456394.500000000      74.33612  22.77942 1.19453854308457   0.1249153
2456395.500000000      75.38374  22.86384 1.19460593340733   0.1084211
2456396.500000000      76.43257  22.94140 1.19466378452149   0.0918982
2456397.500000000      77.48251  23.01206 1.19471210305476   0.0754259
2456398.500000000      78.53343  23.07578 1.19475093929884   0.0590762
2456399.500000000      79.58524  23.13255 1.19478038390146   0.0429175
2456400.500000000      80.63779  23.18234 1.19480056721365   0.0270184
2456401.500000000      81.69099  23.22513 1.19481165818266   0.0114457
2456402.500000000      82.74472  23.26091 1.19481386541873  -0.0037301
2456403.500000000      83.79885  23.28965 1.19480744085122  -0.0184298
2456404.500000000      84.85326  23.31134 1.19479268330455  -0.0325699
2456405.500000000      85.90785  23.32599 1.19476994041904  -0.0460666
2456406.500000000      86.96250  23.33358 1.19473960586520  -0.0588466
2456407.500000000      88.01709  23.33412 1.19470210935492  -0.0708587
2456408.500000000      89.07152  23.32759 1.19465789662175  -0.0821088
2456409.500000000      90.12569  23.31401 1.19460739578751  -0.0926461
2456410.500000000      91.17951  23.29338 1.19455098892227  -0.1025820
2456411.500000000      92.23287  23.26571 1.19448898052864  -0.1120708
2456412.500000000      93.28570  23.23101 1.19442157742855  -0.1212917
2456413.500000000      94.33790  23.18930 1.19434888382753  -0.1304172
2456414.500000000      95.38942  23.14051 1.19427005407933  -0.1395956
2456415.500000000      96.44010  23.08482 1.19418673649121  -0.1489375
2456416.500000000      97.48989  23.02218 1.19409795645077  -0.1585203
2456417.500000000      98.53869  22.95261 1.19400355988301  -0.1683901
2456418.500000000      99.58641  22.87614 1.19390337466025  -0.1785642
2456419.500000000     100.63295  22.79281 1.19379722753402  -0.1890323
2456420.500000000     101.67821  22.70265 1.19368495425116  -0.1997713
2456421.500000000     102.72210  22.60569 1.19356640880095  -0.2107448
2456422.500000000     103.76452  22.50200 1.19344147080619  -0.2218947
2456423.500000000     104.80538  22.39160 1.19331005500868  -0.2331646
2456424.500000000     105.84457  22.27454 1.19317211073307  -0.2444899
2456425.500000000     106.88200  22.15089 1.19302762506072  -0.2558033
2456426.500000000     107.91758  22.02068 1.19287662458299  -0.2670377
2456427.500000000     108.95123  21.88398 1.19271917385728  -0.2781269
2456428.500000000     109.98285  21.74085 1.19255537563069  -0.2890051
2456429.500000000     111.01237  21.59134 1.19238537211194  -0.2996025
2456430.500000000     112.03970  21.43552 1.19220934575150  -0.3098465
2456431.500000000     113.06477  21.27346 1.19202752409871  -0.3196555
2456432.500000000     114.08751  21.10522 1.19184018468565  -0.3289365
2456433.500000000     115.10784  20.93087 1.19164766247559  -0.3375857
2456434.500000000     116.12570  20.75049 1.19145034905654  -0.3455080
2456435.500000000     117.14105  20.56414 1.19124869448730  -0.3526037
2456436.500000000     118.15382  20.37189 1.19104319666190  -0.3588087
2456437.500000000     119.16398  20.17383 1.19083437683708  -0.3641094
2456438.500000000     120.17150  19.97001 1.19062274533060  -0.3685598
2456439.500000000     121.17635  19.76053 1.19040876064684  -0.3722832
2456440.500000000     122.17853  19.54545 1.19019279474290  -0.3754510
2456441.500000000     123.17801  19.32484 1.18997511363475  -0.3782539
2456442.500000000     124.17480  19.09879 1.18975587532813  -0.3808704
2456443.500000000     125.16889  18.86737 1.18953514198969  -0.3834494
2456444.500000000     126.16027  18.63067 1.18931290509721  -0.3860936
2456445.500000000     127.14896  18.38878 1.18909090614912  -0.3888740
2456446.500000000     128.13494  18.14174 1.18886544986583  -0.3918299
2456447.500000000     129.11821  17.88967 1.18863823269611  -0.3949742
2456448.500000000     130.09878  17.63264 1.18840914226766  -0.3983136
2456449.500000000     131.07663  17.37076 1.18817807030640  -0.4018326
2456450.500000000     132.05178  17.10410 1.18794491879210  -0.4055096
2456451.500000000     133.02423  16.83275 1.18770960568796  -0.4093115
2456452.500000000     133.99398  16.55682 1.18747206971499  -0.4131999
2456453.500000000     134.96104  16.27639 1.18723227324665  -0.4171305
2456454.500000000     135.92541  15.99156 1.18699020700965  -0.4210481
2456455.500000000     136.88710  15.70242 1.18674589335567  -0.4249054
2456456.500000000     137.84614  15.40907 1.18649938430745  -0.4286394
2456457.500000000     138.80252  15.11160 1.18625076948107  -0.4321859
2456458.500000000     139.75627  14.81011 1.18600017708404  -0.4354746
2456459.500000000     140.70740  14.50469 1.18574777846428  -0.4384262
2456460.500000000     141.65594  14.19545 1.18549379390508  -0.4409503
2456461.500000000     142.60190  13.88248 1.18523849911140  -0.4429448
2456462.500000000     143.54532  13.56588 1.18498223235007  -0.4442961
2456463.500000000     144.48622  13.24575 1.18472539979071  -0.4448845
2456464.500000000     145.42465  12.92218 1.18446847425540  -0.4446019
2456465.500000000     146.36063  12.59526 1.18421198271443  -0.4433733
2456466.500000000     147.29423  12.26510 1.18395647928495  -0.4411813
2456467.500000000     148.22549  11.93178 1.18370251032255  -0.4380775
2456468.500000000     149.15447  11.59538 1.18345056776773  -0.4341907
2456469.500000000     150.08126  11.25601 1.18320105464869  -0.4296969
2456470.500000000     151.00591  10.91375 1.18295426612333  -0.4247881
2456471.500000000     151.92850  10.56868 1.18271038959126  -0.4196408
2456472.500000000     152.84911  10.22090 1.18246951965617  -0.4143977
2456473.500000000     153.76782   9.87050 1.18223168008618  -0.4091616
2456474.500000000     154.68469   9.51756 1.18199684591565  -0.4040002
2456475.500000000     155.59980   9.16217 1.18176399169097  -0.3989562
2456476.500000000     156.51322   8.80444 1.18153498085098  -0.3940485
2456477.500000000     157.42501   8.44446 1.18130876064215  -0.3892952
2456478.500000000     158.33526   8.08232 1.18108524170063  -0.3846945
2456479.500000000     159.24402   7.71811 1.18086433680490  -0.3802424
2456480.500000000     160.15137   7.35193 1.18064596322816  -0.3759271
2456481.500000000     161.05737   6.98388 1.18043004699637  -0.3717317
2456482.500000000     161.96209   6.61404 1.18021652652400  -0.3676242
2456483.500000000     162.86560   6.24253 1.18000536065805  -0.3635719
2456484.500000000     163.76796   5.86942 1.17979652996090  -0.3595302
2456485.500000000     164.66925   5.49483 1.17959004249539  -0.3554465
2456486.500000000     165.56951   5.11885 1.17938594241195  -0.3512541
2456487.500000000     166.46883   4.74157 1.17918431221456  -0.3468808
2456488.500000000     167.36725   4.36309 1.17898528076075  -0.3422403
2456489.500000000     168.26486   3.98352 1.17878903048534  -0.3372327
2456490.500000000     169.16170   3.60295 1.17859580473940  -0.3317466
2456491.500000000     170.05786   3.22148 1.17840591663838  -0.3256555
2456492.500000000     170.95339   2.83920 1.17821975162481  -0.3188344
2456493.500000000     171.84838   2.45621 1.17803776416299  -0.3111732
2456494.500000000     172.74288   2.07260 1.17786046504439  -0.3025927
2456495.500000000     173.63699   1.68847 1.17768839256298  -0.2930784
2456496.500000000     174.53078   1.30390 1.17752207360244  -0.2826858
2456497.500000000     175.42436   0.91899 1.17736198248679  -0.2715388
2456498.500000000     176.31781   0.53382 1.17720850872084  -0.2598020
2456499.500000000     177.21124   0.14848 1.17706194055684  -0.2476568
2456500.500000000     178.10473  -0.23695 1.17692246502880  -0.2352680
2456501.500000000     178.99839  -0.62237 1.17679018172262  -0.2227725
2456502.500000000     179.89231  -1.00769 1.17666512159202  -0.2102709
2456503.500000000     180.78659  -1.39283 1.17654726655544  -0.1978338
2456504.500000000     181.68130  -1.77770 1.17643656393587  -0.1855132
2456505.500000000     182.57656  -2.16220 1.17633293631635  -0.1733386
2456506.500000000     183.47244  -2.54621 1.17623601762371  -0.1613365
2456507.500000000     184.36902  -2.92969 1.17614625094579  -0.1495262
2456508.500000000     185.26638  -3.31253 1.17606324726092  -0.1379205
2456509.500000000     186.16461  -3.69462 1.17598688540468  -0.1265289
2456510.500000000     187.06379  -4.07587 1.17591704110664  -0.1153521
2456511.500000000     187.96398  -4.45619 1.17585359221604  -0.1043816
2456512.500000000     188.86527  -4.83547 1.17579642488479  -0.0935969
2456513.500000000     189.76773  -5.21362 1.17574544129214  -0.0829622
2456514.500000000     190.67141  -5.59054 1.17570056856179  -0.0724275
2456515.500000000     191.57640  -5.96614 1.17566176730969  -0.0619265
2456516.500000000     192.48275  -6.34030 1.17562904112201  -0.0513765
2456517.500000000     193.39052  -6.71292 1.17560244581249  -0.0406801
2456518.500000000     194.29978  -7.08392 1.17558209774819  -0.0297244
2456519.500000000     195.21058  -7.45319 1.17556818215560  -0.0183858
2456520.500000000     196.12297  -7.82062 1.17556095718944  -0.0065356
2456521.500000000     197.03703  -8.18612 1.17556075523412   0.0059516
2456522.500000000     197.95280  -8.54958 1.17556797543746   0.0191798
2456523.500000000     198.87036  -8.91092 1.17558306696264   0.0332137
2456524.500000000     199.78977  -9.27002 1.17560650075071   0.0480621
2456525.500000000     200.71109  -9.62681 1.17563873453504   0.0636709
2456526.500000000     201.63440  -9.98117 1.17568017832748   0.0799314
2456527.500000000     202.55978 -10.33303 1.17573116546870   0.0966930
2456528.500000000     203.48731 -10.68227 1.17579194373140   0.1138051
2456529.500000000     204.41705 -11.02882 1.17586267002790   0.1311166
2456530.500000000     205.34908 -11.37257 1.17594342218426   0.1485023
2456531.500000000     206.28348 -11.71344 1.17603421337072   0.1658639
2456532.500000000     207.22030 -12.05131 1.17613500675009   0.1831254
2456533.500000000     208.15961 -12.38610 1.17624572733597   0.2002297
2456534.500000000     209.10147 -12.71772 1.17636627040046   0.2171300
2456535.500000000     210.04594 -13.04605 1.17649650656590   0.2337874
2456536.500000000     210.99307 -13.37101 1.17663628514236   0.2501662
