Date_________JDUT     R.A.___(ICRF)___DEC            delta      deldot
**********************************************************************
$$SOE
2456943.500000000     248.80460 -22.26749 1.29477305635096   0.8205544
2456944.500000000     249.85615 -22.39096 1.29525199409398   0.8377967
2456945.500000000     250.90958 -22.50763 1.29574080287499   0.8547228
2456946.500000000     251.96482 -22.61746 1.29623928293344   0.8712776
2456947.500000000     253.02178 -22.72040 1.29674720827637   0.8874201
2456948.500000000     254.08037 -22.81640 1.29726432632114   0.9031049
2456949.500000000     255.14049 -22.90541 1.29779036464694   0.9183025
2456950.500000000     256.20204 -22.98740 1.29832503265201   0.9329817
2456951.500000000     257.26492 -23.06233 1.29886802511983   0.9471193
2456952.500000000     258.32902 -23.13016 1.29941901754416   0.9606838
2456953.500000000     259.39424 -23.19087 1.29997767783601   0.9736727
2456954.500000000     260.46045 -23.24442 1.30054367293383   0.9860811
2456955.500000000     261.52754 -23.29079 1.30111667385356   0.9979374
2456956.500000000     262.59538 -23.32996 1.30169637455205   1.0092929
2456957.500000000     263.66384 -23.36191 1.30228250505604   1.0202131
2456958.500000000     264.73280 -23.38662 1.30287484074650   1.0307970
2456959.500000000     265.80212 -23.40409 1.30347321935236   1.0411580
2456960.500000000     266.87167 -23.41430 1.30407754862111   1.0514240
2456961.500000000     267.94131 -23.41725 1.30468781110401   1.0617244
2456962.500000000     269.01090 -23.41293 1.30530406589790   1.0721905
2456963.500000000     270.08032 -23.40139 1.30592627670572   1.0829266
2456964.500000000     271.14944 -23.38256 1.30655495240660   1.0940314
2456965.500000000     272.21814 -23.35649 1.30719016262508   1.1055591
2456966.500000000     273.28629 -23.32318 1.30783215797271   1.1175243
2456967.500000000     274.35378 -23.28265 1.30848118022223   1.1298803
2456968.500000000     275.42050 -23.23492 1.30913743465292   1.1425503
2456969.500000000     276.48635 -23.18001 1.30980107240657   1.1554254
2456970.500000000     277.55123 -23.11794 1.31047217298283   1.1683705
2456971.500000000     278.61504 -23.04874 1.31115074132673   1.1812636
2456972.500000000     279.67768 -22.97244 1.31183671459371   1.1939959
2456973.500000000     280.73906 -22.88908 1.31252997010077   1.2064630
2456974.500000000     281.79909 -22.79868 1.31323033192848   1.2185912
2456975.500000000     282.85767 -22.70130 1.31393758506796   1.2303160
2456976.500000000     283.91471 -22.59696 1.31465148145212   1.2415859
2456977.500000000     284.97012 -22.48573 1.31537174364679   1.2523509
2456978.500000000     286.02382 -22.36764 1.31609806641358   1.2625638
2456979.500000000     287.07572 -22.24274 1.31683011860251   1.2721807
2456980.500000000     288.12573 -22.11110 1.31756753917219   1.2811464
2456981.500000000     289.17378 -21.97277 1.31830994059731   1.2894210
2456982.500000000     290.21978 -21.82780 1.31905691292264   1.2969691
2456983.500000000     291.26364 -21.67627 1.31980803190887   1.3037797
2456984.500000000     292.30530 -21.51823 1.32056287328402   1.3098636
2456985.500000000     293.34467 -21.35376 1.32132102950681   1.3152690
2456986.500000000     294.38166 -21.18292 1.32208213138339   1.3200807
2456987.500000000     295.41622 -21.00579 1.32284587105814   1.3244205
2456988.500000000     296.44824 -20.82244 1.32361201049196   1.3284192
2456989.500000000     297.47768 -20.63295 1.32438039832807   1.3322307
2456990.500000000     298.50445 -20.43741 1.32515096854492   1.3359992
2456991.500000000     299.52850 -20.23589 1.32592373455523   1.3398538
2456992.500000000     300.54976 -20.02847 1.32669877783653   1.3438997
2456993.500000000     301.56818 -19.81523 1.32747414907662   1.3482105
2456994.500000000     302.58375 -19.59627 1.32825417993008   1.3528268
2456995.500000000     303.59641 -19.37166 1.32903696651944   1.3577508
2456996.500000000     304.60614 -19.14150 1.32982268060074   1.3629558
2456997.500000000     305.61292 -18.90587 1.33061146776558   1.3683796
2456998.500000000     306.61674 -18.66486 1.33140342981983   1.3739361
2456999.500000000     307.61758 -18.41855 1.33219861947436   1.3795377
2457000.500000000     308.61545 -18.16703 1.33299703326303   1.3850842
2457001.500000000     309.61035 -17.91040 1.33379861171347   1.3904810
2457002.500000000     310.60228 -17.64875 1.33460324358206   1.3956442
2457003.500000000     311.59126 -17.38216 1.33541077236900   1.4005006
2457004.500000000     312.57728 -17.11072 1.33622100162649   1.4049851
2457005.500000000     313.56038 -16.83454 1.33703369931038   1.4090384
2457006.500000000     314.54056 -16.55371 1.33784860003446   1.4126040
2457007.500000000     315.51784 -16.26832 1.33866540541204   1.4156235
2457008.500000000     316.49225 -15.97846 1.33948378203110   1.4180338
2457009.500000000     317.46381 -15.68424 1.34030335902441   1.4197693
2457010.500000000     318.43255 -15.38574 1.34112372821834   1.4207663
2457011.500000000     319.39849 -15.08308 1.34194444465015   1.4209631
2457012.500000000     320.36166 -14.77634 1.34276503446465   1.4203246
2457013.500000000     321.32209 -14.46562 1.34358501275237   1.4188490
2457014.500000000     322.27980 -14.15104 1.34440390693156   1.4165828
2457015.500000000     323.23481 -13.83269 1.34522128608212   1.4136236
2457016.500000000     324.18716 -13.51067 1.34603678950436   1.4101141
2457017.500000000     325.13687 -13.18509 1.34685014714805   1.4062228
2457018.500000000     326.08396 -12.85605 1.34766118874088   1.4021222
2457019.500000000     327.02847 -12.52365 1.34846983971770   1.3979690
2457020.500000000     327.97042 -12.18801 1.34927610802656   1.3938904
2457021.500000000     328.90987 -11.84921 1.35008006599886   1.3899808
2457022.500000000     329.84685 -11.50737 1.35088182684960   1.3862918
2457023.500000000     330.78141 -11.16258 1.35168153039758   1.3828622
2457024.500000000     331.71372 -10.81500 1.35248202547950   1.3797129
2457025.500000000     332.64362 -10.46462 1.35327807501396   1.3767776
2457026.500000000     333.57128 -10.11159 1.35407248754325   1.3740358
2457027.500000000     334.49676  -9.75600 1.35486535902054   1.3714316
2457028.500000000     335.42014  -9.39797 1.35565674996606   1.3688974
2457029.500000000     336.34149  -9.03757 1.35644668027245   1.3663617
2457030.500000000     337.26089  -8.67491 1.35723512786242   1.3637512
2457031.500000000     338.17841  -8.31008 1.35802202877853   1.3609949
2457032.500000000     339.09412  -7.94318 1.35880727997041   1.3580275
2457033.500000000     340.00812  -7.57430 1.35959074099578   1.3547862
2457034.500000000     340.92048  -7.20354 1.36037223538318   1.3512076
2457035.500000000     341.83128  -6.83100 1.36115155100674   1.3472303
2457036.500000000     342.74060  -6.45676 1.36192843837930   1.3427884
2457037.500000000     343.64852  -6.08093 1.36270260695710   1.3378022
2457038.500000000     344.55514  -5.70359 1.36347372001283   1.3321946
2457039.500000000     345.46053  -5.32485 1.36424139334471   1.3258777
2457040.500000000     346.36476  -4.94479 1.36500519358709   1.3187705
2457041.500000000     347.26793  -4.56352 1.36576464520188   1.3108137
2457042.500000000     348.17011  -4.18114 1.36651925107323   1.3019923
2457043.500000000     349.07137  -3.79773 1.36726851965779   1.2923450
2457044.500000000     349.97177  -3.41340 1.36801200206520   1.2819799
2457045.500000000     350.87139  -3.02826 1.36874932855585   1.2710596
2457046.500000000     351.77030  -2.64239 1.36948023314525   1.2597758
2457047.500000000     352.66854  -2.25591 1.37020456172743   1.2483190
2457048.500000000     353.56621  -1.86890 1.37092226329519   1.2368532
2457049.500000000     354.46335  -1.48148 1.37163337091664   1.2255035
2457050.500000000     355.36005  -1.09374 1.37233797792260   1.2143546
2457051.500000000     356.25637  -0.70577 1.37303621588498   1.2034559
2457052.500000000     357.15240  -0.31768 1.37372823722405   1.1928302
2457053.500000000     358.04821   0.07045 1.37441420119912   1.1824804
2457054.500000000     358.94388   0.45851 1.37509426400717   1.1723931
2457055.500000000     359.83949   0.84640 1.37576790364749   1.1625431
2457056.500000000       0.73515   1.23406 1.37643658099905   1.1528946
2457057.500000000       1.63093   1.62137 1.37709973335737   1.1434041
2457058.500000000       2.52691   2.00824 1.37775743778756   1.1340210
2457059.500000000       3.42320   2.39458 1.37840974045817   1.1246904
2457060.500000000       4.31987   2.78031 1.37905665523768   1.1153548
2457061.500000000       5.21701   3.16531 1.37969816205572   1.1059542
2457062.500000000       6.11472   3.54952 1.38033420575757   1.0964276
2457063.500000000       7.01308   3.93282 1.38096469542305   1.0867116
2457064.500000000       7.91219   4.31514 1.38158950218565   1.0767376
2457065.500000000       8.81212   4.69638 1.38220845571311   1.0664306
2457066.500000000       9.71298   5.07644 1.38282133972486   1.0557060
2457067.500000000      10.61484   5.45524 1.38342788613051   1.0444689
2457068.500000000      11.51779   5.83268 1.38402776971123   1.0326179
2457069.500000000      12.42191   6.20866 1.38462060717721   1.0200554
2457070.500000000      13.32728   6.58310 1.38520596429088   1.0067059
2457071.500000000      14.23398   6.95590 1.38578337359938   0.9925360
2457072.500000000      15.14207   7.32697 1.38635236950222   0.9775841
2457073.500000000      16.05161   7.69619 1.38691252783035   0.9619585
2457074.500000000      16.96267   8.06348 1.38746350639033   0.9458298
2457075.500000000      17.87530   8.42874 1.38800507341792   0.9294030
2457076.500000000      18.78955   8.79185 1.38853711209068   0.9128676
2457077.500000000      19.70548   9.15274 1.38905960994340   0.8963897
2457078.500000000      20.62314   9.51128 1.38957263944817   0.8800996
2457079.500000000      21.54259   9.86739 1.39007633174867   0.8640681
2457080.500000000      22.46387  10.22097 1.39057085205377   0.8483454
2457081.500000000      23.38705  10.57192 1.39105638759724   0.8329588
2457082.500000000      24.31219  10.92014 1.39153313447302   0.8179144
2457083.500000000      25.23934  11.26551 1.39200164403303   0.8032129
2457084.500000000      26.16855  11.60798 1.39246140386018   0.7888361
2457085.500000000      27.09989  11.94744 1.39291295021328   0.7747691
2457086.500000000      28.03341  12.28379 1.39335645601469   0.7609893
2457087.500000000      28.96917  12.61693 1.39379207774997   0.7474634
2457088.500000000      29.90722  12.94677 1.39421995079242   0.7341511
2457089.500000000      30.84762  13.27321 1.39464018515014   0.7210056
2457090.500000000      31.79043  13.59617 1.39505286307844   0.7079748
2457091.500000000      32.73568  13.91555 1.39545803289564   0.6949971
2457092.500000000      33.68344  14.23124 1.39585570765847   0.6820100
2457093.500000000      34.63375  14.54317 1.39624585775471   0.6689282
2457094.500000000      35.58666  14.85124 1.39662840592415   0.6556722
2457095.500000000      36.54221  15.15536 1.39700322484432   0.6421501
2457096.500000000      37.50045  15.45542 1.39737012975133   0.6282475
2457097.500000000      38.46140  15.75135 1.39772886925907   0.6138574
2457098.500000000      39.42510  16.04305 1.39807913179706   0.5988764
2457099.500000000      40.39158  16.33042 1.39842054736454   0.5832143
2457100.500000000      41.36086  16.61338 1.39875271110410   0.5668397
2457101.500000000      42.33294  16.89183 1.39907521753443   0.5497848
2457102.500000000      43.30784  17.16568 1.39938769945019   0.5321522
2457103.500000000      44.28554  17.43482 1.39968986830182   0.5141055
2457104.500000000      45.26604  17.69918 1.39998154101427   0.4958393
2457105.500000000      46.24932  17.95865 1.40026264550796   0.4775410
2457106.500000000      47.23537  18.21315 1.40053321068984   0.4593684
2457107.500000000      48.22418  18.46258 1.40079334571652   0.4414413
2457108.500000000      49.21571  18.70685 1.40104321767616   0.4238415
2457109.500000000      50.20996  18.94587 1.40128303135146   0.4066196
2457110.500000000      51.20689  19.17957 1.40151301501019   0.3898068
2457111.500000000      52.20649  19.40784 1.40173341004333   0.3734199
2457112.500000000      53.20873  19.63062 1.40194446578684   0.3574692
2457113.500000000      54.21358  19.84781 1.40214643578101   0.3419592
2457114.500000000      55.22104  20.05936 1.40233995896010   0.3268864
2457115.500000000      56.23103  20.26514 1.40252451713601   0.3122479
2457116.500000000      57.24354  20.46510 1.40270074168218   0.2980265
2457117.500000000      58.25853  20.65917 1.40286886608441   0.2841947
2457118.500000000      59.27596  20.84727 1.40302910611013   0.2707182
2457119.500000000      60.29580  21.02932 1.40318165280544   0.2575459
2457120.500000000      61.31800  21.20527 1.40332666455081   0.2446159
2457121.500000000      62.34252  21.37504 1.40346426002653   0.2318524
2457122.500000000      63.36931  21.53856 1.40359451109431   0.2191691
2457123.500000000      64.39832  21.69577 1.40371743613069   0.2064675
2457124.500000000      65.42950  21.84661 1.40383299209777   0.1936359
2457125.500000000      66.46279  21.99102 1.40394107337075   0.1805629
2457126.500000000      67.49813  22.12894 1.40404150512059   0.1671288
2457127.500000000      68.53545  22.26031 1.40413404685381   0.1532267
2457128.500000000      69.57468  22.38509 1.40421840370136   0.1387768
2457129.500000000      70.61573  22.50323 1.40429424836212   0.1237524
2457130.500000000      71.65852  22.61466 1.40436125442052   0.1081824
2457131.500000000      72.70295  22.71935 1.40441913177164   0.0921629
2457132.500000000      73.74891  22.81724 1.40446766003071   0.0758372
2457133.500000000      74.79631  22.90831 1.40450671110866   0.0593753
2457134.500000000      75.84503  22.99250 1.40453625529530   0.0429447
2457135.500000000      76.89495  23.06979 1.40455635399106   0.0266901
2457136.500000000      77.94596  23.14014 1.40456714317110   0.0107251
2457137.500000000      78.99796  23.20351 1.40456881528232  -0.0048677
2457138.500000000      80.05081  23.25988 1.40456160292313  -0.0200308
2457139.500000000      81.10442  23.30923 1.40454576578138  -0.0347256
2457140.500000000      82.15866  23.35153 1.40452158524507  -0.0489178
2457141.500000000      83.21343  23.38677 1.40448935794490  -0.0625855
2457142.500000000      84.26861  23.41493 1.40444939261381  -0.0757092
2457143.500000000      85.32409  23.43599 1.40440200797676  -0.0882735
2457144.500000000      86.37976  23.44996 1.40434742384993  -0.1002685
2457145.500000000      87.43551  23.45683 1.40428618449184  -0.1116879
2457146.500000000      88.49124  23.45658 1.40421851242264  -0.1225458
2457147.500000000      89.54683  23.44923 1.40414472493573  -0.1328698
2457148.500000000      90.60219  23.43477 1.40406511775905  -0.1427072
2457149.500000000      91.65721  23.41321 1.40397995332623  -0.1521257
2457150.500000000      92.71179  23.38457 1.40388944922484  -0.1612125
2457151.500000000      93.76585  23.34885 1.40379376608096  -0.1700752
2457152.500000000      94.81928  23.30608 1.40369300287452  -0.1788262
2457153.500000000      95.87198  23.25626 1.40358718657229  -0.1875936
2457154.500000000      96.92388  23.19942 1.40347627007763  -0.1965072
2457155.500000000      97.97486  23.13559 1.40336013607780  -0.2056785
2457156.500000000      99.02485  23.06479 1.40323860502440  -0.2152091
2457157.500000000     100.07373  22.98705 1.40311144879361  -0.2251642
2457158.500000000     101.12142  22.90242 1.40297841398811  -0.2355637
2457159.500000000     102.16781  22.81092 1.40283925067741  -0.2463754
2457160.500000000     103.21280  22.71260 1.40269374229181  -0.2575172
2457161.500000000     104.25629  22.60749 1.40254173152737  -0.2688688
2457162.500000000     105.29818  22.49565 1.40238313695348  -0.2802908
2457163.500000000     106.33836  22.37713 1.40221795867420  -0.2916436
2457164.500000000     107.37674  22.25197 1.40204627376468  -0.3028018
2457165.500000000     108.41322  22.12023 1.40186822579389  -0.3136614
2457166.500000000     109.44772  21.98197 1.40168401236987  -0.3241375
2457167.500000000     110.48014  21.83723 1.40149387301707  -0.3341729
2457168.500000000     111.51041  21.68610 1.40129807766544  -0.3437149
2457169.500000000     112.53846  21.52861 1.40109692383418  -0.3527208
2457170.500000000     113.56420  21.36485 1.40089073232111  -0.3611524
2457171.500000000     114.58758  21.19488 1.40067984548908  -0.3689731
2457172.500000000     115.60853  21.01875 1.40046462626219  -0.3761486
2457173.500000000     116.62701  20.83656 1.40024545625605  -0.3826487
2457174.500000000     117.64295  20.64836 1.40002273231495  -0.3884524
2457175.500000000     118.65631  20.45423 1.39979603066419  -0.3935538
2457176.500000000     119.66706  20.25424 1.39956741027620  -0.3979704
2457177.500000000     120.67516  20.04847 1.39933642655413  -0.4017477
2457178.500000000     121.68060  19.83699 1.39910342798090  -0.4049623
2457179.500000000     122.68334  19.61989 1.39886871031942  -0.4077201
2457180.500000000     123.68337  19.39723 1.39863250118293  -0.4101497
2457181.500000000     124.68069  19.16911 1.39839494945815  -0.4123930
2457182.500000000     125.67529  18.93559 1.39815612187435  -0.4145883
2457183.500000000     126.66716  18.69677 1.39791600619052  -0.4168767
2457184.500000000     127.65630  18.45272 1.39767451513509  -0.4193675
2457185.500000000     128.64271  18.20354 1.39743150589482  -0.4221449
2457186.500000000     129.62639  17.94930 1.39718679697988  -0.4252577
2457187.500000000     130.60733  17.69009 1.39694019020154  -0.4287147
2457188.500000000     131.58553  17.42601 1.39669149567130  -0.4324798
2457189.500000000     132.56099  17.15715 1.39644055020080  -0.4364938
2457190.500000000     133.53372  16.88360 1.39618723770246  -0.4406586
2457191.500000000     134.50370  16.60544 1.39593150195455  -0.4448660
2457192.500000000     135.47094  16.32279 1.39567335019342  -0.4490060
2457193.500000000     136.43545  16.03572 1.39541285257225  -0.4529733
2457194.500000000     137.39723  15.74433 1.39515013546465  -0.4566770
2457195.500000000     138.35630  15.44873 1.39488537416497  -0.4600399
2457196.500000000     139.31267  15.14901 1.39461878478578  -0.4629971
2457197.500000000     140.26636  14.84525 1.39435061864303  -0.4654907
2457198.500000000     141.21739  14.53756 1.39408115859498  -0.4674688
2457199.500000000     142.16579  14.22604 1.39381071708605  -0.4688806
2457200.500000000     143.11160  13.91078 1.39353963777838  -0.4696694
2457201.500000000     144.05484  13.59187 1.39326829298172  -0.4697901
2457202.500000000     144.99555  13.26941 1.39299708512703  -0.4691871
2457203.500000000     145.93377  12.94350 1.39272644517851  -0.4678178
2457204.500000000     146.86957  12.61423 1.39245682076233  -0.4656580
2457205.500000000     147.80297  12.28169 1.39218940899990  -0.4627119
2457206.500000000     148.73403  11.94599 1.39192318230054  -0.4590241
2457207.500000000     149.66283  11.60721 1.39165927947384  -0.4546835
2457208.500000000     150.58942  11.26544 1.39139804354292  -0.4498148
2457209.500000000     151.51388  10.92078 1.39113973246602  -0.4445821
2457210.500000000     152.43628  10.57331 1.39088451009420  -0.4391474
2457211.500000000     153.35670  10.22313 1.39063244675847  -0.4336678
2457212.500000000     154.27520   9.87033 1.39038352950229  -0.4282736
2457213.500000000     155.19186   9.51501 1.39013767504711  -0.4230768
2457214.500000000     156.10675   9.15724 1.38989474915187  -0.4181416
2457215.500000000     157.01995   8.79713 1.38965458900704  -0.4135030
2457216.500000000     157.93151   8.43478 1.38941702177270  -0.4091607
2457217.500000000     158.84151   8.07027 1.38918188272298  -0.4050881
2457218.500000000     159.75002   7.70371 1.38894903075610  -0.4012292
2457219.500000000     160.65709   7.33519 1.38871836036074  -0.3975231
2457220.500000000     161.56279   6.96480 1.38848980672633  -0.3938860
2457221.500000000     162.46719   6.59265 1.38826335446643  -0.3902328
2457222.500000000     163.37034   6.21882 1.38803903669984  -0.3864815
2457223.500000000     164.27232   5.84343 1.38781693270295  -0.3825549
2457224.500000000     165.17319   5.46656 1.38759716426189  -0.3783829
2457225.500000000     166.07302   5.08831 1.38737989207308  -0.3739016
2457226.500000000     166.97187   4.70878 1.38716531202974  -0.3690506
2457227.500000000     167.86981   4.32806 1.38695365505115  -0.3637698
2457228.500000000     168.76692   3.94626 1.38674518706294  -0.3579980
2457229.500000000     169.66327   3.56346 1.38654021026089  -0.3516692
2457230.500000000     170.55892   3.17977 1.38633906685609  -0.3447122
2457231.500000000     171.45396   2.79527 1.38614214063639  -0.3370547
2457232.500000000     172.34846   2.41007 1.38594985560120  -0.3286317
2457233.500000000     173.24250   2.02426 1.38576266831819  -0.3193986
2457234.500000000     174.13617   1.63793 1.38558105166170  -0.3093444
2457235.500000000     175.02955   1.25117 1.38540546979121  -0.2985140
2457236.500000000     175.92278   0.86414 1.38523518573956  -0.2870074
2457237.500000000     176.81586   0.47680 1.38507286657912  -0.2749768
2457238.500000000     177.70893   0.08930 1.38491760431946  -0.2626030
2457239.500000000     178.60209  -0.29826 1.38476954271899  -0.2500734
2457240.500000000     179.49545  -0.68581 1.38462872283331  -0.2375523
2457241.500000000     180.38908  -1.07324 1.38449510018146  -0.2251702
2457242.500000000     181.28309  -1.46047 1.38436856584690  -0.2130208
2457243.500000000     182.17757  -1.84740 1.38424896800635  -0.2011578
2457244.500000000     183.07260  -2.23395 1.38413613197457  -0.1896078
2457245.500000000     183.96826  -2.62002 1.38402987555871  -0.1783717
2457246.500000000     184.86464  -3.00550 1.38393002466158  -0.1674250
2457247.500000000     185.76182  -3.39032 1.38383642004468  -0.1567354
2457248.500000000     186.65986  -3.77437 1.38374892671458  -0.1462556
2457249.500000000     187.55885  -4.15755 1.38366743884808  -0.1359302
2457250.500000000     188.45885  -4.53977 1.38359188403084  -0.1257013
2457251.500000000     189.35994  -4.92093 1.38352222587094  -0.1154988
2457252.500000000     190.26219  -5.30093 1.38345846790798  -0.1052632
2457253.500000000     191.16567  -5.67967 1.38340064337207  -0.0949370
2457254.500000000     192.07044  -6.05705 1.38334883001384  -0.0844453
2457255.500000000     192.97658  -6.43298 1.38330313680152  -0.0737337
2457256.500000000     193.88414  -6.80735 1.38326370848067  -0.0627388
2457257.500000000     194.79319  -7.18006 1.38323072880315  -0.0513944
2457258.500000000     195.70380  -7.55102 1.38320442162641  -0.0396199
2457259.500000000     196.61603  -7.92012 1.38318505950093  -0.0273297
2457260.500000000     197.52995  -8.28727 1.38317296805584  -0.0144302
2457261.500000000     198.44562  -8.65236 1.38316852388614  -0.0008364
2457262.500000000     199.36310  -9.01530 1.38317214793689   0.0135152
2457263.500000000     200.28248  -9.37599 1.38318428697155   0.0286474
2457264.500000000     201.20381  -9.73433 1.38320538352299   0.0445191
2457265.500000000     202.12717 -10.09022 1.38323583593741   0.0610203
2457266.500000000     203.05265 -10.44356 1.38327596227840   0.0779848
2457267.500000000     203.98032 -10.79434 1.38332719713006   0.0952125
2457268.500000000     204.91024 -11.14232 1.38338718764108   0.1125113
2457269.500000000     205.84251 -11.48747 1.38345714872505   0.1297126
2457270.500000000     206.77717 -11.82971 1.38353698573918   0.1466911
2457271.500000000     207.71431 -12.16892 1.38362654376439   0.1633624
2457272.500000000     208.65399 -12.50502 1.38372562972578   0.1796776
2457273.500000000     209.59625 -12.83790 1.38383403040550   0.1956142
2457274.500000000     210.54115 -13.16747 1.38395152504791   0.2111674
2457275.500000000     211.48873 -13.49363 1.38407789444445   0.2263470
2457276.500000000     212.43905 -13.81627 1.38421292782119   0.2411719
2457277.500000000     213.39213 -14.13530 1.38435642693229   0.2556673
2457278.500000000     214.34802 -14.45062 1.38450821328851   0.2698732
2457279.500000000     215.30674 -14.76212 1.38466813044865   0.2838290
2457280.500000000     216.26832 -15.06971 1.38483604717325   0.2975814
2457281.500000000     217.23278 -15.37327 1.38501186062187   0.3111817
2457282.500000000     218.20014 -15.67272 1.38519549881695   0.3246854
2457283.500000000     219.17042 -15.96795 1.38538692264641   0.3381510
2457284.500000000     220.14363 -16.25885 1.38558612816613   0.3516407
2457285.500000000     221.11978 -16.54534 1.38579314918095   0.3652269
2457286.500000000     222.09886 -16.82730 1.38600806330253   0.3789859
2457287.500000000     223.08090 -17.10465 1.38623099539692   0.3930059
2457288.500000000     224.06587 -17.37727 1.38646212451269   0.4073868
2457289.500000000     225.05379 -17.64508 1.38670168918725   0.4222333
2457290.500000000     226.04464 -17.90796 1.38694998837902   0.4376472
2457291.500000000     227.03842 -18.16584 1.38720737420426   0.4537072
2457292.500000000     228.03513 -18.41862 1.38747423164575   0.4704445
2457293.500000000     229.03475 -18.66619 1.38775094540269   0.4878242
2457294.500000000     230.03729 -18.90848 1.38803785812309   0.5057361
2457295.500000000     231.04275 -19.14538 1.38833523052552   0.5240107
2457296.500000000     232.05112 -19.37683 1.38864321490176   0.5424480
2457297.500000000     233.06240 -19.60271 1.38896214288398   0.5608586
2457298.500000000     234.07656 -19.82297 1.38929136138211   0.5790735
2457299.500000000     235.09359 -20.03751 1.38963101505215   0.5969757
2457300.500000000     236.11347 -20.24625 1.38998089817249   0.6144842
2457301.500000000     237.13616 -20.44910 1.39034076802371   0.6315504
2457302.500000000     238.16163 -20.64599 1.39071036040322   0.6481458
2457303.500000000     239.18984 -20.83684 1.39108939951889   0.6642617
2457304.500000000     240.22074 -21.02156 1.39147760704423   0.6798933
2457305.500000000     241.25427 -21.20009 1.39187470373070   0.6950426
2457306.500000000     242.29036 -21.37235 1.39228041454659   0.7097240
2457307.500000000     243.32896 -21.53827 1.39269447338619   0.7239526
2457308.500000000     244.36999 -21.69777 1.39311662537466   0.7377527
2457309.500000000     245.41338 -21.85078 1.39354663256405   0.7511619
2457310.500000000     246.45904 -21.99725 1.39398427997273   0.7642131
2457311.500000000     247.50688 -22.13710 1.39442937547387   0.7769614
2457312.500000000     248.55682 -22.27028 1.39488176086468   0.7894664
2457313.500000000     249.60875 -22.39671 1.39534131480670   0.8017961
2457314.500000000     250.66259 -22.51636 1.39580796048297   0.8140330
2457315.500000000     251.71821 -22.62916 1.39628166515374   0.8262583
2457316.500000000     252.77553 -22.73506 1.39676245246897   0.8385756
2457317.500000000     253.83442 -22.83401 1.39725040713074   0.8510959
2457318.500000000     254.89478 -22.92596 1.39774567974431   0.8639344
2457319.500000000     255.95650 -23.01088 1.39824848628255   0.8771999
2457320.500000000     257.01946 -23.08873 1.39875909926347   0.8909765
2457321.500000000     258.08355 -23.15946 1.39927782647708   0.9052985
2457322.500000000     259.14868 -23.22305 1.39980497869240   0.9201379
2457323.500000000     260.21473 -23.27946 1.40034082827162   0.9353922
2457324.500000000     261.28161 -23.32868 1.40088557156862   0.9509052
2457325.500000000     262.34922 -23.37067 1.40143930580013   0.9664935
2457326.500000000     263.41745 -23.40542 1.40200202168921   0.9819776
2457327.500000000     264.48620 -23.43291 1.40257361314966   0.9972045
2457328.500000000     265.55537 -23.45314 1.40315341885518   1.0120588
2457329.500000000     266.62486 -23.46609 1.40374215401807   1.0264594
2457330.500000000     267.69455 -23.47175 1.40433906395850   1.0403553
2457331.500000000     268.76433 -23.47012 1.40494384315655   1.0537066
2457332.500000000     269.83408 -23.46120 1.40555617185057   1.0664939
2457333.500000000     270.90369 -23.44500 1.40617571920726   1.0787001
2457334.500000000     271.97304 -23.42153 1.40680214680222   1.0903167
2457335.500000000     273.04201 -23.39079 1.40743511161225   1.1013359
2457336.500000000     274.11048 -23.35280 1.40807426834218   1.1117580
2457337.500000000     275.17834 -23.30758 1.40871927404107   1.1215913
2457338.500000000     276.24545 -23.25514 1.40936979350417   1.1308549
2457339.500000000     277.31170 -23.19551 1.41002550689968   1.1395828
2457340.500000000     278.37697 -23.12873 1.41068611797949   1.1478235
2457341.500000000     279.44113 -23.05481 1.41135136313524   1.1556412
2457342.500000000     280.50407 -22.97379 1.41202102007709   1.1631148
2457343.500000000     281.56567 -22.88572 1.41269491871922   1.1703415
2457344.500000000     282.62580 -22.79063 1.41337294157533   1.1774182
2457345.500000000     283.68436 -22.68856 1.41405503725149   1.1844643
2457346.500000000     284.74123 -22.57956 1.41474122303558   1.1916013
2457347.500000000     285.79630 -22.46368 1.41543158630056   1.1989489
2457348.500000000     286.84948 -22.34097 1.41612628221138   1.2066184
2457349.500000000     287.90066 -22.21149 1.41682551779748   1.2146798
2457350.500000000     288.94976 -22.07529 1.41752953298383   1.2231694
2457351.500000000     289.99669 -21.93243 1.41823857105549   1.2320641
2457352.500000000     291.04140 -21.78297 1.41895284293311   1.2412726
2457353.500000000     292.08380 -21.62697 1.41967249382788   1.2506651
2457354.500000000     293.12384 -21.46451 1.42039758546690   1.2600856
2457355.500000000     294.16146 -21.29564 1.42112808853963   1.2693785
2457356.500000000     295.19661 -21.12044 1.42186388855995   1.2784067
2457357.500000000     296.22926 -20.93897 1.42260480079923   1.2870644
2457358.500000000     297.25939 -20.75128 1.42335394341041   1.2952642
2457359.500000000     298.28686 -20.55751 1.42410431733438   1.3029517
2457360.500000000     299.31167 -20.35771 1.42485897189499   1.3100792
2457361.500000000     300.33380 -20.15195 1.42561757378194   1.3166151
2457362.500000000     301.35321 -19.94032 1.42637977312334   1.3225315
2457363.500000000     302.36985 -19.72290 1.42714520370458   1.3278005
2457364.500000000     303.38369 -19.49976 1.42791348597811   1.3324017
2457365.500000000     304.39472 -19.27101 1.42868422801374   1.3363156
2457366.500000000     305.40289 -19.03673 1.42945702911244   1.3395309
